i	requested_sparsity	achieved_sparsity	output
1	0	0.004515	./data/simulated_new/sparsity_0/1.tsv
1	0.1	0.10406	./data/simulated_new/sparsity_0.1/1.tsv
1	0.2	0.20357	./data/simulated_new/sparsity_0.2/1.tsv
1	0.3	0.30308	./data/simulated_new/sparsity_0.3/1.tsv
1	0.4	0.402635	./data/simulated_new/sparsity_0.4/1.tsv
1	0.5	0.50219	./data/simulated_new/sparsity_0.5/1.tsv
1	0.6	0.601695	./data/simulated_new/sparsity_0.6/1.tsv
1	0.7	0.701405	./data/simulated_new/sparsity_0.7/1.tsv
2	0	0.005145	./data/simulated_new/sparsity_0/2.tsv
2	0.1	0.104625	./data/simulated_new/sparsity_0.1/2.tsv
2	0.2	0.20408	./data/simulated_new/sparsity_0.2/2.tsv
2	0.3	0.30358	./data/simulated_new/sparsity_0.3/2.tsv
2	0.4	0.40313	./data/simulated_new/sparsity_0.4/2.tsv
2	0.5	0.50258	./data/simulated_new/sparsity_0.5/2.tsv
2	0.6	0.602055	./data/simulated_new/sparsity_0.6/2.tsv
2	0.7	0.70165	./data/simulated_new/sparsity_0.7/2.tsv
