i	requested_sparsity	achieved_sparsity	output	pval	fval
1	0	0.004215	./data/simulated_new/sparsity_0/1.tsv	9.99000999000999e-4	5.275351999291482
1	0.1	0.10375	./data/simulated_new/sparsity_0.1/1.tsv	9.99000999000999e-4	4.546753055132416
1	0.2	0.203385	./data/simulated_new/sparsity_0.2/1.tsv	9.99000999000999e-4	3.570596079089819
1	0.3	0.30293	./data/simulated_new/sparsity_0.3/1.tsv	9.99000999000999e-4	2.926124960600179
1	0.4	0.402455	./data/simulated_new/sparsity_0.4/1.tsv	9.99000999000999e-4	2.3992507660726514
1	0.5	0.5022	./data/simulated_new/sparsity_0.5/1.tsv	9.99000999000999e-4	2.056646442532277
1	0.6	0.601685	./data/simulated_new/sparsity_0.6/1.tsv	9.99000999000999e-4	1.7371512640070836
1	0.7	0.701315	./data/simulated_new/sparsity_0.7/1.tsv	9.99000999000999e-4	1.4912247510912415
2	0	0.004675	./data/simulated_new/sparsity_0/2.tsv	9.99000999000999e-4	5.264815384647546
2	0.1	0.1042	./data/simulated_new/sparsity_0.1/2.tsv	9.99000999000999e-4	4.607076738825951
2	0.2	0.20376	./data/simulated_new/sparsity_0.2/2.tsv	9.99000999000999e-4	3.6081979662815478
2	0.3	0.303305	./data/simulated_new/sparsity_0.3/2.tsv	9.99000999000999e-4	2.962680836230034
2	0.4	0.40278	./data/simulated_new/sparsity_0.4/2.tsv	9.99000999000999e-4	2.4249964568523814
2	0.5	0.502445	./data/simulated_new/sparsity_0.5/2.tsv	9.99000999000999e-4	2.00825329298867
2	0.6	0.60192	./data/simulated_new/sparsity_0.6/2.tsv	9.99000999000999e-4	1.7000232722643949
2	0.7	0.701445	./data/simulated_new/sparsity_0.7/2.tsv	9.99000999000999e-4	1.4963599380882167
3	0	0.004535	./data/simulated_new/sparsity_0/3.tsv	9.99000999000999e-4	5.305828863524288
3	0.1	0.10406	./data/simulated_new/sparsity_0.1/3.tsv	9.99000999000999e-4	4.473430118987157
3	0.2	0.20371	./data/simulated_new/sparsity_0.2/3.tsv	9.99000999000999e-4	3.612922700171165
3	0.3	0.303285	./data/simulated_new/sparsity_0.3/3.tsv	9.99000999000999e-4	2.893096065342911
3	0.4	0.40285	./data/simulated_new/sparsity_0.4/3.tsv	9.99000999000999e-4	2.394185492467381
3	0.5	0.502355	./data/simulated_new/sparsity_0.5/3.tsv	9.99000999000999e-4	2.026508156971214
3	0.6	0.601745	./data/simulated_new/sparsity_0.6/3.tsv	9.99000999000999e-4	1.711707387446158
3	0.7	0.70136	./data/simulated_new/sparsity_0.7/3.tsv	9.99000999000999e-4	1.5085421668379884
4	0	0.00502	./data/simulated_new/sparsity_0/4.tsv	9.99000999000999e-4	5.241670513656183
4	0.1	0.10452	./data/simulated_new/sparsity_0.1/4.tsv	9.99000999000999e-4	4.515117427115693
4	0.2	0.20394	./data/simulated_new/sparsity_0.2/4.tsv	9.99000999000999e-4	3.5841692380407815
4	0.3	0.3036	./data/simulated_new/sparsity_0.3/4.tsv	9.99000999000999e-4	2.920955501323357
4	0.4	0.403005	./data/simulated_new/sparsity_0.4/4.tsv	9.99000999000999e-4	2.399868743460141
4	0.5	0.502475	./data/simulated_new/sparsity_0.5/4.tsv	9.99000999000999e-4	2.049147783257099
4	0.6	0.60189	./data/simulated_new/sparsity_0.6/4.tsv	9.99000999000999e-4	1.7767059124457647
4	0.7	0.70161	./data/simulated_new/sparsity_0.7/4.tsv	9.99000999000999e-4	1.4471245434192206
5	0	0.00514	./data/simulated_new/sparsity_0/5.tsv	9.99000999000999e-4	5.128324857570103
5	0.1	0.104655	./data/simulated_new/sparsity_0.1/5.tsv	9.99000999000999e-4	4.585655098203884
5	0.2	0.20424	./data/simulated_new/sparsity_0.2/5.tsv	9.99000999000999e-4	3.6138843925857476
5	0.3	0.30348	./data/simulated_new/sparsity_0.3/5.tsv	9.99000999000999e-4	2.9190301564125485
5	0.4	0.40313	./data/simulated_new/sparsity_0.4/5.tsv	9.99000999000999e-4	2.416447058062636
5	0.5	0.502545	./data/simulated_new/sparsity_0.5/5.tsv	9.99000999000999e-4	1.9975349893130987
5	0.6	0.60202	./data/simulated_new/sparsity_0.6/5.tsv	9.99000999000999e-4	1.7264535476639886
5	0.7	0.701445	./data/simulated_new/sparsity_0.7/5.tsv	9.99000999000999e-4	1.5212282550989153
6	0	0.00353	./data/simulated_new/sparsity_0/6.tsv	9.99000999000999e-4	5.446473538924556
6	0.1	0.1032	./data/simulated_new/sparsity_0.1/6.tsv	9.99000999000999e-4	4.705249602984521
6	0.2	0.202805	./data/simulated_new/sparsity_0.2/6.tsv	9.99000999000999e-4	3.5586765325001233
6	0.3	0.302455	./data/simulated_new/sparsity_0.3/6.tsv	9.99000999000999e-4	2.878373112270657
6	0.4	0.402015	./data/simulated_new/sparsity_0.4/6.tsv	9.99000999000999e-4	2.3292063708136856
6	0.5	0.501675	./data/simulated_new/sparsity_0.5/6.tsv	9.99000999000999e-4	1.9718064323509217
6	0.6	0.601425	./data/simulated_new/sparsity_0.6/6.tsv	9.99000999000999e-4	1.7222917474586223
6	0.7	0.70105	./data/simulated_new/sparsity_0.7/6.tsv	9.99000999000999e-4	1.461923814553409
7	0	0.00448	./data/simulated_new/sparsity_0/7.tsv	9.99000999000999e-4	5.40249884287569
7	0.1	0.10402	./data/simulated_new/sparsity_0.1/7.tsv	9.99000999000999e-4	4.697116265685876
7	0.2	0.203555	./data/simulated_new/sparsity_0.2/7.tsv	9.99000999000999e-4	3.7139116059130917
7	0.3	0.303125	./data/simulated_new/sparsity_0.3/7.tsv	9.99000999000999e-4	2.9645971125923514
7	0.4	0.402625	./data/simulated_new/sparsity_0.4/7.tsv	9.99000999000999e-4	2.3886797594028506
7	0.5	0.502315	./data/simulated_new/sparsity_0.5/7.tsv	9.99000999000999e-4	2.058439198720011
7	0.6	0.601785	./data/simulated_new/sparsity_0.6/7.tsv	9.99000999000999e-4	1.7022407901962595
7	0.7	0.701235	./data/simulated_new/sparsity_0.7/7.tsv	9.99000999000999e-4	1.537509584047719
8	0	0.00465	./data/simulated_new/sparsity_0/8.tsv	9.99000999000999e-4	5.213190883649561
8	0.1	0.104125	./data/simulated_new/sparsity_0.1/8.tsv	9.99000999000999e-4	4.468363246726895
8	0.2	0.203735	./data/simulated_new/sparsity_0.2/8.tsv	9.99000999000999e-4	3.535270544350897
8	0.3	0.30318	./data/simulated_new/sparsity_0.3/8.tsv	9.99000999000999e-4	2.902002776548609
8	0.4	0.40281	./data/simulated_new/sparsity_0.4/8.tsv	9.99000999000999e-4	2.3723267478273677
