i	requested_sparsity	achieved_sparsity	output	pval	fval
1	0	0.004215	./data/simulated_new/sparsity_0/1.tsv	9.99000999000999e-4	393.6878134686585
1	0.1	0.10375	./data/simulated_new/sparsity_0.1/1.tsv	9.99000999000999e-4	14.942555426270875
1	0.2	0.203385	./data/simulated_new/sparsity_0.2/1.tsv	9.99000999000999e-4	5.6620333672564
1	0.3	0.30293	./data/simulated_new/sparsity_0.3/1.tsv	9.99000999000999e-4	3.6257180913694995
1	0.4	0.402455	./data/simulated_new/sparsity_0.4/1.tsv	9.99000999000999e-4	2.6370304609910846
1	0.5	0.5022	./data/simulated_new/sparsity_0.5/1.tsv	9.99000999000999e-4	1.9922378656037125
1	0.6	0.601685	./data/simulated_new/sparsity_0.6/1.tsv	9.99000999000999e-4	1.6501900894137593
1	0.7	0.701315	./data/simulated_new/sparsity_0.7/1.tsv	9.99000999000999e-4	1.4066389365698508
2	0	0.004675	./data/simulated_new/sparsity_0/2.tsv	9.99000999000999e-4	389.9916357614
2	0.1	0.1042	./data/simulated_new/sparsity_0.1/2.tsv	9.99000999000999e-4	14.521644465970377
2	0.2	0.20376	./data/simulated_new/sparsity_0.2/2.tsv	9.99000999000999e-4	5.767127557639149
2	0.3	0.303305	./data/simulated_new/sparsity_0.3/2.tsv	9.99000999000999e-4	3.796822008753632
2	0.4	0.40278	./data/simulated_new/sparsity_0.4/2.tsv	9.99000999000999e-4	2.5925564552088955
2	0.5	0.502445	./data/simulated_new/sparsity_0.5/2.tsv	9.99000999000999e-4	2.128431001582685
2	0.6	0.60192	./data/simulated_new/sparsity_0.6/2.tsv	9.99000999000999e-4	1.6053374393582374
2	0.7	0.701445	./data/simulated_new/sparsity_0.7/2.tsv	9.99000999000999e-4	1.4803678664639903
3	0	0.004535	./data/simulated_new/sparsity_0/3.tsv	9.99000999000999e-4	392.06436572410576
3	0.1	0.10406	./data/simulated_new/sparsity_0.1/3.tsv	9.99000999000999e-4	14.267996072219656
3	0.2	0.20371	./data/simulated_new/sparsity_0.2/3.tsv	9.99000999000999e-4	6.043208477380082
3	0.3	0.303285	./data/simulated_new/sparsity_0.3/3.tsv	9.99000999000999e-4	3.620027762220718
3	0.4	0.40285	./data/simulated_new/sparsity_0.4/3.tsv	9.99000999000999e-4	2.3890769928781572
3	0.5	0.502355	./data/simulated_new/sparsity_0.5/3.tsv	9.99000999000999e-4	2.0991006727836843
3	0.6	0.601745	./data/simulated_new/sparsity_0.6/3.tsv	9.99000999000999e-4	1.7366577082526862
3	0.7	0.70136	./data/simulated_new/sparsity_0.7/3.tsv	9.99000999000999e-4	1.4108972192268685
